"date"	"lat"	"lon"	"estimate"
1492-09-09	27.925	-17.526	"Case 06a"
1492-09-10	27.936	-19.969	"Case 06a"
1492-09-11	27.966	-23.222	"Case 06a"
1492-09-12	27.948	-25.409	"Case 06a"
1492-09-13	27.916	-27.213	"Case 06a"
1492-09-14	27.876	-29.011	"Case 06a"
1492-09-15	27.832	-30.12	"Case 06a"
1492-09-16	27.767	-31.602	"Case 06a"
1492-09-17	27.646	-33.718	"Case 06a"
1492-09-18	27.428	-36.401	"Case 06a"
1492-09-19	27.165	-39.334	"Case 06a"
1492-09-20	27.048	-40.687	"Case 06a"
1492-09-20	27.061	-40.907	"Case 06a"
1492-09-21	27.107	-41.12	"Case 06a"
1492-09-22	27.048	-41.841	"Case 06a"
1492-09-23	27.455	-43.39	"Case 06a"
1492-09-23	27.853	-43.961	"Case 06a"
1492-09-24	28.144	-44.246	"Case 06a"
1492-09-24	28.121	-44.537	"Case 06a"
1492-09-25	28.064	-45.333	"Case 06a"
1492-09-25	28.047	-45.585	"Case 06a"
1492-09-26	27.442	-46.184	"Case 06a"
1492-09-26	27.395	-46.806	"Case 06a"
1492-09-27	26.71	-47.49	"Case 06a"
1492-09-28	26.622	-48.78	"Case 06a"
1492-09-29	26.577	-49.547	"Case 06a"
1492-09-30	26.485	-50.835	"Case 06a"
1492-10-01	26.438	-51.602	"Case 06a"
1492-10-02	26.34	-52.941	"Case 06a"
1492-10-03	26.184	-55.008	"Case 06a"
1492-10-04	26.011	-57.489	"Case 06a"
1492-10-05	25.81	-60.802	"Case 06a"
1492-10-06	25.703	-63.807	"Case 06a"
1492-10-07	25.687	-65.929	"Case 06a"
1492-10-07	25.688	-67.145	"Case 06a"
1492-10-08	25.622	-67.413	"Case 06a"
1492-10-09	25.454	-68.031	"Case 06a"
1492-10-09	25.3	-68.231	"Case 06a"
1492-10-10	25.464	-69.054	"Case 06a"
1492-10-11	24.45	-71.933	"Case 06a"
1492-10-11	23.996	-73.253	"Case 06a"
1492-10-12	24.014	-74.427	"Case 06a"
1492-09-09	27.926	-17.461	"Case 06b"
1492-09-10	27.51	-19.799	"Case 06b"
1492-09-11	26.901	-22.888	"Case 06b"
1492-09-12	26.464	-24.929	"Case 06b"
1492-09-13	26.086	-26.603	"Case 06b"
1492-09-14	25.691	-28.266	"Case 06b"
1492-09-15	25.444	-29.269	"Case 06b"
1492-09-16	25.103	-30.618	"Case 06b"
1492-09-17	24.593	-32.554	"Case 06b"
1492-09-18	23.918	-35.017	"Case 06b"
1492-09-19	23.148	-37.702	"Case 06b"
1492-09-20	22.79	-38.914	"Case 06b"
1492-09-20	22.769	-39.106	"Case 06b"
1492-09-21	22.784	-39.299	"Case 06b"
1492-09-22	22.596	-39.928	"Case 06b"
1492-09-23	22.704	-41.448	"Case 06b"
1492-09-23	22.99	-42.061	"Case 06b"
1492-09-24	23.224	-42.386	"Case 06b"
1492-09-24	23.144	-42.648	"Case 06b"
1492-09-25	22.931	-43.349	"Case 06b"
1492-09-25	22.865	-43.567	"Case 06b"
1492-09-26	22.153	-43.955	"Case 06b"
1492-09-26	21.983	-44.513	"Case 06b"
1492-09-27	21.171	-44.954	"Case 06b"
1492-09-28	20.82	-46.1	"Case 06b"
1492-09-29	20.617	-46.767	"Case 06b"
1492-09-30	20.271	-47.91	"Case 06b"
1492-10-01	20.07	-48.576	"Case 06b"
1492-10-02	19.716	-49.765	"Case 06b"
1492-10-03	19.172	-51.617	"Case 06b"
1492-10-04	18.534	-53.846	"Case 06b"
1492-10-05	17.725	-56.836	"Case 06b"
1492-10-06	17.058	-59.548	"Case 06b"
1492-10-07	16.634	-61.457	"Case 06b"
1492-10-07	16.407	-62.557	"Case 06b"
1492-10-08	16.275	-62.76	"Case 06b"
1492-10-09	15.967	-63.238	"Case 06b"
1492-10-09	15.772	-63.373	"Case 06b"
1492-10-10	15.775	-64.128	"Case 06b"
1492-10-11	14.301	-66.553	"Case 06b"
1492-10-11	13.654	-67.674	"Case 06b"
1492-10-12	13.518	-68.751	"Case 06b"
